track_id,eeg_name,V,A
12,DA0310EE,-0.4,-0.1
9,DA0310EF,-0.45,0.3
18,DA0310EG,-0.3,0.5
22,DA0310EH,0.15,0.5
10,DA0310EI,0.3,-0.5
27,DA0310EJ,0.7,0.9
32,DA0310EK,0.8,0.85
13,DA0310EL,0.1,-0.3
17,DA0310EM,-0.5,-0.3
26,DA0310EN,0.1,0.1
29,DA0310EO,0.4,0.2
31,DA0310EP,0.8,0.8
28,DA0310EQ,0.3,0.7
11,DA0310ER,0.05,0.05
25,DA0310ES,0.3,-0.3
8,DA0310ET,0.3,0.4
23,DA0310EU,-0.2,-0.3
24,DA0310EV,0.8,0.95
30,DA0310EW,0.7,0.3
19,DA0310EX,0.1,0.4
2,DA0310EY,0.6,0.6
21,DA0310EZ,-0.1,0.1
20,DA0310F0,0.0,0.6
3,DA0310F1,0.1,0.4
5,DA0310F2,0.3,0.5
7,DA0310F3,-0.6,0.3
14,DA0310F4,-0.3,0.4
1,DA0310F5,-0.3,0.7
16,DA0310F6,-0.4,0.6
6,DA0310F7,0.4,0.5
15,DA0310F8,-0.6,0.6
4,DA0310F9,0.1,0.9
